ORISPL_CODE,UNITID,Generator ID,PTID,Zone,Latitude,Longitude,Plant Name,solar_size_MW,State,County,Prime Mover,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Sector Name,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Time from Cold Shutdown to Full Load,Cofire Fuels?,Switch Between Oil and Natural Gas?,CRIS_winter
2490,CT0001,GT1,23520,N.Y.C.,40.591564,-74.200035,Arthur Kill Generating Station,2.708269529,NY,Richmond,GT,18,1,12,15,1,1,1970, , ,IPP Non-CHP,NG,,,,,,OVER,N,N,21.6
2494,CT01-1,GT11,24077,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,18.9,24.5,16,6,1971, , ,IPP Non-CHP,DFO,KER,,,,,1H,Y,,24.9
2494,CT01-2,GT12,24078,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,18.5,20.8,16,6,1971, , ,IPP Non-CHP,DFO,KER,,,,,1H,Y,,22.3
2494,CT01-3,GT13,24079,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,15.2,22,16,6,1971, , ,IPP Non-CHP,DFO,KER,,,,,1H,Y,,22.5
2494,CT01-4,GT14,24080,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,16,20.9,16,6,1971, , ,IPP Non-CHP,DFO,KER,,,,,1H,Y,,22.3
2494,CT01-5,GT15,24084,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,16,20.9,16,6,1971, , ,IPP Non-CHP,DFO,KER,,,,,1H,Y,,21.6
2494,CT01-6,GT16,24111,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,16.9,22.4,16,6,1971, , ,IPP Non-CHP,DFO,KER,,,,,1H,Y,,23.5
2494,CT01-7,GT17,24112,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,16.8,21.5,16,6,1971, , ,IPP Non-CHP,DFO,KER,,,,,1H,Y,,23
2494,CT01-8,GT18,24113,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,15.5,19.9,16,6,1971, , ,IPP Non-CHP,DFO,KER,,,,,1H,Y,,21
2494,CT02-1,GT21,24114,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,17,22,16,6,1971, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,23.4
2494,CT02-2,GT22,24115,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,18.1,23.9,16,6,1971, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,24.6
2494,CT02-3,GT23,24116,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,19.2,24.2,16,6,1971, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,26.9
2494,CT02-4,GT24,24117,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,17.1,22.8,16,6,1971, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,25.2
2494,CT02-5,GT25,24118,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,17.4,22.2,16,6,1971, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,24.3
2494,CT02-6,GT26,24119,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,18.9,24.4,16,6,1971, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,26.5
2494,CT02-7,GT27,24120,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,18.7,23.7,16,6,1971, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,25.6
2494,CT02-8,GT28,24121,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,17,21.6,16,6,1971, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,23.1
2494,CT03-1,GT31,24122,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,16.6,21.7,16,7,1971, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,23.1
2494,CT03-2,GT32,24123,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,16.6,21.7,16,7,1971, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,23.1
2494,CT03-3,GT33,24124,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,18.2,23.6,16,7,1971, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,25.9
2494,CT03-4,GT34,24125,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,16.3,21,16,7,1971, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,23.4
2494,CT03-5,GT35,24126,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,18.5,22.9,16,7,1971, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,24.8
2494,CT03-6,GT36,24127,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,16.2,20,16,7,1971, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,23
2494,CT03-7,GT37,24128,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,16.9,21.7,16,7,1971, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,23.6
2494,CT03-8,GT38,24129,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,17.4,23.4,16,7,1971, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,24.8
2494,CT04-1,GT41,24130,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,14.6,20.6,16,7,1971, , ,IPP Non-CHP,DFO,KER,,,,,1H,Y,,21.9
2494,CT04-2,GT42,24131,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,17.4,23,16,7,1971, , ,IPP Non-CHP,DFO,KER,,,,,1H,Y,,22.6
